"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"COL","PHI","C.J. Cron","Randal Grichuk","Bryce Harper","Nick Castellanos",19700,45.9,2.3
"MIL","PHI","Hunter Renfroe","Rowdy Tellez","Bryce Harper","Nick Castellanos",19500,45.9,2.4
"OAK","PHI","Billy McKinney","Jed Lowrie","Bryce Harper","Nick Castellanos",18500,45.9,2.5
"PHI","SF","J.T. Realmuto","Rhys Hoskins","Brandon Belt","Darin Ruf",19300,45.9,2.4
"ATL","PHI","Adam Duvall","Austin Riley","Bryce Harper","J.T. Realmuto",19700,45.9,2.3
"PHI","SF","Bryce Harper","Rhys Hoskins","Joc Pederson","Mike Yastrzemski",19300,45.8,2.4
"ARI","PHI","Daulton Varsho","Ketel Marte","J.T. Realmuto","Jean Segura",19000,45.8,2.4
"PHI","SF","J.T. Realmuto","Jean Segura","Brandon Belt","Mike Yastrzemski",19500,45.8,2.4
"OAK","PHI","Sean Murphy","Sheldon Neuse","Bryce Harper","J.T. Realmuto",19700,45.8,2.3
"OAK","PHI","Seth Brown","Sheldon Neuse","Bryce Harper","J.T. Realmuto",18300,45.8,2.5
"ARI","PHI","Daulton Varsho","Pavin Smith","Bryce Harper","Rhys Hoskins",18200,45.8,2.5
"MIL","PHI","Rowdy Tellez","Willy Adames","Bryce Harper","J.T. Realmuto",19200,45.8,2.4
"ARI","PHI","Christian Walker","Daulton Varsho","Bryce Harper","Kyle Schwarber",18400,45.8,2.5
"OAK","PHI","Seth Brown","Tony Kemp","J.T. Realmuto","Nick Castellanos",18600,45.8,2.5
"PHI","SD","Bryce Harper","Nick Castellanos","Ha-Seong Kim","Manny Machado",19700,45.8,2.3
"PHI","SD","Bryce Harper","Nick Castellanos","Trent Grisham","Wil Myers",19200,45.8,2.4
"PHI","SF","Bryce Harper","Kyle Schwarber","Brandon Belt","Joey Bart",19600,45.8,2.3
"PHI","SF","Bryce Harper","J.T. Realmuto","Joc Pederson","Wilmer Flores",18900,45.8,2.4
"PHI","SF","Bryce Harper","Rhys Hoskins","Darin Ruf","Mike Yastrzemski",19100,45.8,2.4
"BAL","PHI","Austin Hays","Cedric Mullins","Bryce Harper","J.T. Realmuto",19900,45.8,2.3
"ARI","PHI","Ketel Marte","Sergio Alcantara","Bryce Harper","Rhys Hoskins",19300,45.8,2.4
"PHI","SD","Bryce Harper","Nick Castellanos","Luke Voit","Trent Grisham",19400,45.8,2.4
"PHI","SF","Bryce Harper","Nick Castellanos","Darin Ruf","Joc Pederson",18800,45.8,2.4
"OAK","PHI","Jed Lowrie","Tony Kemp","Bryce Harper","Kyle Schwarber",18900,45.8,2.4
