"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP"
"Demarcus Robinson","WR","LAR",3000,4.68,1.6,"28792803","@SEA",46,5.5,20.25
"Tyjae Spears","RB","TEN",4900,4.6,0.9,"28792349","@NO",41,3,19
"Greg Dortch","WR","ARI",3500,4.56,1.3,"28792737","@WAS",38,7,15.5
"Zach Ertz","TE","ARI",3400,4.55,1.3,"28793285","@WAS",38,7,15.5
"Michael Mayer","TE","LV",2800,4.52,1.6,"28793317","@DEN",44,4,20
"Salvon Ahmed","RB","MIA",4000,4.47,1.1,"28792439","@LAC",51,3,24
"John Metchie","WR","HOU",3600,4.44,1.2,"28792735","@BAL",43.5,10,16.75
"Tank Dell","WR","HOU",3000,4.25,1.4,"28793199","@BAL",43.5,10,16.75
"Keaontay Ingram","RB","ARI",4600,4.22,0.9,"28792365","@WAS",38,7,15.5
"Isaiah Likely","TE","BAL",3000,4.13,1.4,"28793303","HOU",43.5,-10,26.75
"Jerome Ford","RB","CLE",4200,4.12,1,"28792403","CIN",47.5,2.5,22.5
"Laviska Shenault","WR","CAR",3100,4.06,1.3,"28792775","@ATL",39.5,3.5,18
"Mo Alie-Cox","TE","IND",2500,3.88,1.6,"28793511","JAX",45,5,20
"Zamir White","RB","LV",4800,3.86,0.8,"28792355","@DEN",44,4,20
"Noah Brown","WR","HOU",3000,3.83,1.3,"28793197","@BAL",43.5,10,16.75
"Ben Skowronek","WR","LAR",3200,3.79,1.2,"28792755","@SEA",46,5.5,20.25
"Jauan Jennings","WR","SF",3300,3.77,1.1,"28792753","@PIT",41,-2,21.5
"Durham Smythe","TE","MIA",2800,3.72,1.3,"28793315","@LAC",51,3,24
"Trayveon Williams","RB","CIN",4000,3.67,0.9,"28792557","@CLE",47.5,-2.5,25
"Cedrick Wilson","WR","MIA",3000,3.66,1.2,"28792871","@LAC",51,3,24
"Chris Moore","WR","TEN",3000,3.65,1.2,"28793045","@NO",41,3,19
"Deven Thompkins","WR","TB",3000,3.6,1.2,"28793065","@MIN",45.5,6,19.75
"Adam Trautman","TE","DEN",2500,3.56,1.4,"28793389","LV",44,-4,24
"Jamal Agnew","WR","JAX",3000,3.54,1.2,"28793099","@IND",45,-5,25
"Quez Watkins","WR","PHI",3400,3.5,1,"28792739","@NE",45,-4,24.5
"Will Dissly","TE","SEA",2600,3.48,1.3,"28793325","LAR",46,-5.5,25.75
"Roschon Johnson","RB","CHI",4500,3.47,0.8,"28792375","GB",43,-1,22
"Kayshon Boutte","WR","NE",3000,3.36,1.1,"28792841","PHI",45,4,20.5
"Jordan Akins","TE","CLE",2600,3.34,1.3,"28793329","CIN",47.5,2.5,22.5
"Olamide Zaccheaus","WR","PHI",3000,3.2,1.1,"28792821","@NE",45,-4,24.5
"Demario Douglas","WR","NE",3000,3.2,1.1,"28792843","PHI",45,4,20.5
"Dyami Brown","WR","WAS",3000,3.16,1.1,"28792955","ARI",38,-7,22.5
"Donald Parham","TE","LAC",2600,3.1,1.2,"28793327","MIA",51,-3,27
"Myles Gaskin","RB","MIN",4000,3.06,0.8,"28792437","TB",45.5,-6,25.75
"Jaleel McLaughlin","RB","DEN",4000,3.06,0.8,"28792459","LV",44,-4,24
"Zach Pascal","WR","ARI",3000,3.04,1,"28792977","@WAS",38,7,15.5
"Foster Moreau","TE","NO",2700,2.85,1.1,"28793321","TEN",41,-3,22
"Isaiah Spiller","RB","LAC",4600,2.84,0.6,"28792363","MIA",51,-3,27
"DeeJay Dallas","RB","SEA",4100,2.81,0.7,"28792405","LAR",46,-5.5,25.75
"Colby Parkinson","TE","SEA",2500,2.81,1.1,"28793331","LAR",46,-5.5,25.75
"Calvin Austin","WR","PIT",3000,2.73,0.9,"28793007","SF",41,2,19.5
"Brandon Johnson","WR","DEN",3000,2.61,0.9,"28792907","LV",44,-4,24
"Trenton Irwin","WR","CIN",3000,2.6,0.9,"28793163","@CLE",47.5,-2.5,25
"Pierre Strong","RB","CLE",4200,2.58,0.6,"28792393","CIN",47.5,2.5,22.5
"Josiah Deguara","TE","GB",2500,2.58,1,"28793399","@CHI",43,1,21
"Chase Brown","RB","CIN",4700,2.57,0.5,"28792359","@CLE",47.5,-2.5,25
"Harrison Bryant","TE","CLE",2500,2.57,1,"28793521","CIN",47.5,2.5,22.5
"Dontayvion Wicks","WR","GB",3000,2.55,0.8,"28792921","@CHI",43,1,21
"KhaDarel Hodge","WR","ATL",3000,2.54,0.8,"28793231","CAR",39.5,-3.5,21.5
"Rakim Jarrett","WR","TB",3000,2.52,0.8,"28793073","@MIN",45.5,6,19.75
"Jimmy Graham","TE","NO",2500,2.52,1,"28793457","TEN",41,-3,22
"Raheem Blackshear","RB","CAR",4000,2.48,0.6,"28792585","@ATL",39.5,3.5,18
"Ke'Shawn Vaughn","RB","TB",4200,2.44,0.6,"28792395","@MIN",45.5,6,19.75
"Byron Pringle","WR","WAS",3000,2.44,0.8,"28792959","ARI",38,-7,22.5
