"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Juan Soto","Yadiel Hernandez",13000,28.5,2.2
"TB","@CHC - Steele ( L )","Brandon Lowe","Mike Zunino","Randy Arozarena",15200,28.5,1.9
"MIL","PIT - Brubaker ( R )","Christian Yelich","Hunter Renfroe","Willy Adames",14100,28.5,2
"BOS","TOR - Kikuchi ( L )","Enrique Hernandez","Rafael Devers","Trevor Story",16300,28.4,1.7
"WSH","ARI - Gilbert ( L )","Josh Bell","Lane Thomas","Nelson Cruz",12900,28.4,2.2
"TB","@CHC - Steele ( L )","Brandon Lowe","Manuel Margot","Wander Franco",13800,28.4,2.1
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","Rafael Devers","Xander Bogaerts",15300,28.4,1.9
"MIL","PIT - Brubaker ( R )","Andrew McCutchen","Hunter Renfroe","Willy Adames",13600,28.4,2.1
"PHI","@COL - Freeland ( L )","Bryce Harper","Bryson Stott","Rhys Hoskins",16000,28.4,1.8
"TB","@CHC - Steele ( L )","Mike Zunino","Randy Arozarena","Yandy Diaz",14100,28.4,2
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Josh Bell","Juan Soto",14900,28.3,1.9
"TOR","@BOS - Eovaldi ( R )","Bo Bichette","George Springer","Vladimir Guerrero Jr.",16000,28.3,1.8
"MIL","PIT - Brubaker ( R )","Hunter Renfroe","Kolten Wong","Willy Adames",13400,28.3,2.1
"BOS","TOR - Kikuchi ( L )","Enrique Hernandez","Rafael Devers","Xander Bogaerts",15900,28.3,1.8
"TB","@CHC - Steele ( L )","Manuel Margot","Wander Franco","Yandy Diaz",12700,28.3,2.2
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","Enrique Hernandez","Trevor Story",15000,28.3,1.9
"WSH","ARI - Gilbert ( L )","Keibert Ruiz","Nelson Cruz","Yadiel Hernandez",11900,28.3,2.4
"TB","@CHC - Steele ( L )","Brandon Lowe","Randy Arozarena","Yandy Diaz",15000,28.3,1.9
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","J.D. Martinez","Rafael Devers",15900,28.3,1.8
"ARI","@WAS - Adon ( R )","Christian Walker","Daulton Varsho","Ketel Marte",12000,28.3,2.4
"PHI","@COL - Freeland ( L )","Alec Bohm","Johan Camargo","Nick Castellanos",12500,28.3,2.3
"PHI","@COL - Freeland ( L )","Bryce Harper","Rhys Hoskins","Simon Muzziotti",14300,28.2,2
"PHI","@COL - Freeland ( L )","Bryce Harper","Garrett Stubbs","Rhys Hoskins",14600,28.2,1.9
"HOU","LAA - Sandoval ( L )","Jose Altuve","Kyle Tucker","Yuli Gurriel",14700,28.2,1.9
"PHI","@COL - Freeland ( L )","Alec Bohm","Jean Segura","Rhys Hoskins",13900,28.2,2
"MIL","PIT - Brubaker ( R )","Andrew McCutchen","Christian Yelich","Hunter Renfroe",13700,28.2,2.1
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","Enrique Hernandez","Xander Bogaerts",14600,28.2,1.9
"BOS","TOR - Kikuchi ( L )","Enrique Hernandez","J.D. Martinez","Rafael Devers",16500,28.2,1.7
"PHI","@COL - Freeland ( L )","Bryce Harper","Bryson Stott","J.T. Realmuto",15800,28.1,1.8
"WSH","ARI - Gilbert ( L )","Josh Bell","Keibert Ruiz","Nelson Cruz",13800,28.1,2
"TB","@CHC - Steele ( L )","Kevin Kiermaier","Randy Arozarena","Wander Franco",13100,28.1,2.1
