"Player","Pos","Team","Salary","Proj","Value","ID","OptPos","Pos2","Pos1","Opp","OU","Order","Roster"
"Pete Crow-Armstrong","OF","CHC",3000,5.71,1.9,"34774725","OF","","OF","@SF - Whisenhunt (L)",8,NA,0.08
"Adam Duvall","OF","ATL",3300,5.7,1.7,"34774688","OF","","OF","@STL - Gibson (R)",8.5,NA,1.22
"Nick Loftin","2B","KC",3000,5.68,1.9,"34774727","2B","","2B","MIA - Chirinos (R)",9.5,NA,0.85
"Korey Lee","C","CWS",3400,5.59,1.6,"34774670","C","","C","LAD - Miller (R)",9,7,0.1
"Luis Matos","OF","SF",3600,5.58,1.6,"34774637","OF","","OF","CHC - Hendricks (R)",8,NA,0.38
"Harrison Bader","OF","NYM",3600,5.55,1.5,"34774648","OF","","OF","NYY - Cole (R)",8.5,9,1.07
"Tyler Soderstrom","1B","OAK",2400,5.54,2.3,"34774804","1B","","1B","@LAA - Anderson (L)",8,NA,0.04
"Tim Anderson","SS","MIA",2300,5.48,2.4,"34774815","SS","","SS","@KC - Lugo (R)",9.5,7,4.64
"Reese McGuire","C","BOS",3200,5.42,1.7,"34774704","C","","C","TOR - Gausman (R)",9.5,8,5.67
"Jeff McNeil","2B","NYM",2800,5.28,1.9,"34774755","2B","","2B","NYY - Cole (R)",8.5,8,2.41
"Yasmani Grandal","C","PIT",3000,5.26,1.8,"34774730","C","","C","@CIN - Greene (R)",9,9,1.35
"Jake Cave","OF","COL",2900,5.23,1.8,"34774740","OF","","OF","@HOU - Brown (R)",8,8,1.21
"Geraldo Perdomo","SS","ARI",3500,5.17,1.5,"34774656","SS","","SS","MIN - Ryan (R)",7.5,9,0.96
"Adam Frazier","2B/OF","KC",2800,5.1,1.8,"34774748","2B/OF","OF","2B","MIA - Chirinos (R)",9.5,NA,0
"Austin Slater","OF","SF",2700,5.02,1.9,"34774760","OF","","OF","CHC - Hendricks (R)",8,9,4.77
"Bryce Johnson","OF","SD",2000,5.02,2.5,"34775085","OF","","OF","WSH - Gore (L)",7.5,9,0.19
"Michael Siani","OF","STL",2100,4.99,2.4,"34774834","OF","","OF","ATL - Lopez (R)",8.5,9,0.18
"Lenyn Sosa","3B","CWS",2400,4.97,2.1,"34774808","3B","","3B","LAD - Miller (R)",9,9,0.12
"Tomas Nido","C","CHC",2600,4.96,1.9,"34774773","C","","C","@SF - Whisenhunt (L)",8,9,1.02
"Nick Fortes","C","MIA",2100,4.9,2.3,"34774837","C","","C","@KC - Lugo (R)",9.5,9,2.8
"Nicky Lopez","2B","CWS",2600,4.87,1.9,"34774770","2B","","2B","LAD - Miller (R)",9,8,1.09
"Miguel Amaya","C","CHC",2400,4.63,1.9,"34774801","C","","C","@SF - Whisenhunt (L)",8,NA,0.07
"Andruw Monasterio","2B/3B","MIL",2400,4.58,1.9,"34774806","2B/3B","3B","2B","TEX - Heaney (L)",9,NA,0.77
"Brandon Crawford","3B/SS","STL",2200,4.57,2.1,"34774821","3B/SS","SS","3B","ATL - Lopez (R)",8.5,NA,0.39
"Addison Barger","3B/OF","TOR",2500,4.55,1.8,"34774789","3B/OF","OF","3B","@BOS - Bello (R)",9.5,NA,0.21
"Pedro Pages","C","STL",2500,4.5,1.8,"34774791","C","","C","ATL - Lopez (R)",8.5,NA,0.1
"Tucker Barnhart","C","ARI",2200,4.46,2,"34774818","C","","C","MIN - Ryan (R)",7.5,8,0.59
"Kevin Kiermaier","OF","TOR",2300,4.25,1.8,"34774813","OF","","OF","@BOS - Bello (R)",9.5,NA,0.54
"Dairon Blanco","OF","KC",3500,3.69,1.1,"34774658","OF","","OF","MIA - Chirinos (R)",9.5,NA,0.04
