"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"WR","Tyler Scott","CHI","TEN",3000,2.01,0.7,45.5,-4.5,25,3.14
"TE","Elijah Higgins","ARI","@BUF",2800,2.01,0.7,48,6,21,0
"WR","John Metchie","HOU","@IND",3000,1.84,0.6,49,-2.5,25.75,0
"TE","Jordan Akins","CLE","DAL",2500,1.84,0.7,42,-2.5,22.25,1.07
"RB","Dylan Laube","LV","@LAC",4000,1.82,0.5,41,3.5,18.75,0
"WR","Ryan Flournoy","DAL","@CLE",3000,1.75,0.6,42,2.5,19.75,0
"WR","David Bell","CLE","DAL",3100,1.72,0.6,42,-2.5,22.25,0.14
"WR","Bub Means","NO","CAR",3000,1.72,0.6,40,-4.5,22.25,0
"TE","Drew Sample","CIN","NE",2700,1.72,0.6,40.5,-9,24.75,0.24
"WR","Trent Sherfield Sr.","MIN","@NYG",3200,1.7,0.5,41.5,-1,21.25,NA
"TE","Luke Schoonmaker","DAL","@CLE",2500,1.67,0.7,42,2.5,19.75,0.1
"WR","Ashton Dulin","IND","HOU",3000,1.66,0.6,49,2.5,23.25,0
"WR","Devin Duvernay","JAX","@MIA",3000,1.5,0.5,49.5,3,23.25,0.37
"WR","Anthony Gould","IND","HOU",3000,1.45,0.5,49,2.5,23.25,0
"TE","Ian Thomas","CAR","@NO",2500,1.4,0.6,40,4.5,17.75,0.06
"TE","Stone Smartt","LAC","LV",2500,1.35,0.5,41,-3.5,22.25,0
"RB","Ameer Abdullah","LV","@LAC",4500,1.17,0.3,41,3.5,18.75,0
"WR","Robert Woods","HOU","@IND",3100,1.13,0.4,49,-2.5,25.75,4.37
