"Pos","Player","Team","Opp","Salary","Proj","Value"
"WR","Lil'Jordan Humphrey","NE","DET",3000,2.99,1
"WR","Braxton Berrios","NYJ","MIA",3400,2.95,0.9
"RB","Kyle Juszczyk","SF","@CAR",4000,2.78,0.7
"TE","Ross Dwelley","SF","@CAR",2600,2.77,1.1
"TE","Johnny Mundt","MIN","CHI",2500,2.67,1.1
"TE","Ryan Griffin","CHI","@MIN",2500,2.66,1.1
"WR","Damiere Byrd","ATL","@TB",3000,2.64,0.9
"WR","Zach Pascal","PHI","@ARI",3300,2.57,0.8
"TE","Tommy Sweeney","BUF","PIT",2500,2.56,1
"TE","Colby Parkinson","SEA","@NO",2500,2.52,1
"WR","Cam Sims","WAS","TEN",3500,2.49,0.7
"RB","Jordan Mason","SF","@CAR",4700,2.47,0.5
"WR","D'Wayne Eskridge","SEA","@NO",3200,2.41,0.8
"WR","Bryan Edwards","ATL","@TB",3000,2.38,0.8
"WR","Cody Hollister","TEN","@WAS",3000,2.36,0.8
"TE","Kyle Rudolph","TB","ATL",2600,2.36,0.9
"RB","Chuba Hubbard","CAR","SF",4700,2.32,0.5
"RB","Boston Scott","PHI","@ARI",4500,2.23,0.5
"RB","Trestan Ebner","CHI","@MIN",4500,2.21,0.5
"RB","Avery Williams","ATL","@TB",4000,2.19,0.5
"TE","Ko Kieft","TB","ATL",2500,2.15,0.9
"RB","DeeJay Dallas","SEA","@NO",4000,2.07,0.5
"WR","Tyler Johnson","HOU","@JAX",3000,2.07,0.7
"TE","Trey McBride","ARI","PHI",2500,2.06,0.8
"TE","Brock Wright","DET","@NE",2500,2.05,0.8
"RB","Ty Johnson","NYJ","MIA",4000,1.98,0.5
"RB","D'Ernest Johnson","CLE","LAC",4000,1.97,0.5
"RB","Marlon Mack","SF","@CAR",4500,1.95,0.4
"WR","Brandon Powell","LAR","DAL",3400,1.91,0.6
"WR","Tutu Atwell","LAR","DAL",3000,1.89,0.6
"RB","D'Onta Foreman","CAR","SF",4000,1.87,0.5
"RB","Alec Ingold","MIA","@NYJ",4000,1.85,0.5
"TE","Tre' McKitty","LAC","@CLE",2500,1.77,0.7
"TE","Zach Gentry","PIT","@BUF",2500,1.69,0.7
"WR","Michael Bandy","LAC","@CLE",3000,1.68,0.6
"WR","River Cracraft","MIA","@NYJ",3000,1.68,0.6
"WR","Jalen Reagor","MIN","CHI",3000,1.67,0.6
"WR","Deonte Harty","NO","SEA",3000,1.67,0.6
"TE","Dan Arnold","JAX","HOU",2600,1.66,0.6
"WR","Anthony Schwartz","CLE","LAC",3100,1.65,0.5
"RB","C.J. Ham","MIN","CHI",4000,1.56,0.4
"WR","Simi Fehoko","DAL","@LAR",3200,1.54,0.5
"TE","Jake Ferguson","DAL","@LAR",2500,1.49,0.6
"RB","Zander Horvath","LAC","@CLE",4000,1.44,0.4
"RB","JaMycal Hasty","JAX","HOU",4000,1.41,0.4
"TE","Chris Manhertz","JAX","HOU",2500,1.11,0.4
