"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Austin Wynns","C","SF",2000,2.01,1,"C","","C","ATL - Wright - R"
"Guillermo Heredia","OF","ATL",2000,1.99,1,"OF","","OF","@SF - Junis - R"
"Austin Dean","OF","SF",2000,1.97,1,"OF","","OF","ATL - Wright - R"
"Willie Calhoun","OF","SF",2000,1.93,1,"OF","","OF","ATL - Wright - R"
"Jace Peterson","3B","MIL",3400,1.92,0.6,"3B","","3B","@STL - Montgomery - L"
"Rob Refsnyder","OF","BOS",2700,1.91,0.7,"OF","","OF","NYY - Cole - R"
"J.D. Davis","3B","SF",2700,1.91,0.7,"3B","","3B","ATL - Wright - R"
"Sergio Alcantara","3B/SS","ARI",2000,1.91,1,"3B/SS","SS","3B","LAD - Kershaw - L"
"Nelson Velazquez","OF","CHC",2000,1.89,0.9,"OF","","OF","@NYM - deGrom - R"
"David Bote","2B/3B","CHC",2300,1.87,0.8,"2B/3B","3B","2B","@NYM - deGrom - R"
"Michael Hermosillo","OF","CHC",2000,1.87,0.9,"OF","","OF","@NYM - deGrom - R"
"Lewis Brinson","OF","SF",2600,1.86,0.7,"OF","","OF","ATL - Wright - R"
"P.J. Higgins","1B/C","CHC",2400,1.8,0.8,"1B/C","C","1B","@NYM - deGrom - R"
"Kevin Plawecki","C","BOS",2000,1.8,0.9,"C","","C","NYY - Cole - R"
"Ehire Adrianza","2B/3B","ATL",2000,1.45,0.7,"2B/3B","3B","2B","@SF - Junis - R"
