"Player","Pos","Team","Salary","Proj","Value","ID","Opp","ML","OU","SPRD","IMP"
"Ray-Ray McCloud","WR","SF",5100,3.04,0.6,"85598-62055","ARI",-949,40.5,-14,27.2
"T.Y. Hilton","WR","DAL",5400,3.02,0.6,"85598-22031","@WAS",-324,41,-7,24
"Dante Pettis","WR","CHI",5200,3,0.6,"85598-56698","MIN",266,43.5,7.5,18
"David Bell","WR","CLE",5000,2.99,0.6,"85598-114180","@PIT",118,40.5,2.5,19
"Kyren Williams","RB","LAR",4900,2.98,0.6,"85598-104433","@SEA",221,41.5,6,17.8
"Jamal Agnew","WR","JAX",5000,2.9,0.6,"85598-79979","TEN",-281,40,-6.5,23.2
"Tommy Tremble","TE","CAR",4800,2.86,0.6,"85598-91101","@NO",149,42,3.5,19.2
"C.J. Uzomah","TE","NYJ",4500,2.81,0.6,"85598-31207","@MIA",-119,38.5,-1.5,20
"Brandon Bolden","RB","LV",5000,2.77,0.6,"85598-22898","KC",340,52.5,9.5,21.5
"Brock Wright","TE","DET",4900,2.75,0.6,"85598-91046","@GB",190,49,4.5,22.2
"Damiere Byrd","WR","ATL",5100,2.73,0.5,"85598-30678","TB",-198,40.5,-4,22.2
"Donald Parham","TE","LAC",4400,2.72,0.6,"85598-104278","@DEN",123,40,2.5,18.8
"Harrison Bryant","TE","CLE",4500,2.7,0.6,"85598-70601","@PIT",118,40.5,2.5,19
"Amari Rodgers","WR","HOU",5100,2.69,0.5,"85598-89970","@IND",126,38,2.5,17.8
"Jonnu Smith","TE","NE",4500,2.69,0.6,"85598-48116","@BUF",243,42.5,7,17.8
"Ke'Shawn Vaughn","RB","TB",5800,2.67,0.5,"85598-63078","@ATL",166,40.5,4,18.2
"Ian Thomas","TE","CAR",4400,2.61,0.6,"85598-72515","@NO",149,42,3.5,19.2
"Justin Watson","WR","KC",4800,2.59,0.5,"85598-83083","@LV",-441,52.5,-9.5,31
"DeAndre Carter","WR","LAC",5400,2.58,0.5,"85598-62628","@DEN",123,40,2.5,18.8
"Jameson Williams","WR","DET",4800,2.54,0.5,"85598-111631","@GB",190,49,4.5,22.2
"Ameer Abdullah","RB","LV",4700,2.54,0.5,"85598-27229","KC",340,52.5,9.5,21.5
"Shane Zylstra","TE","DET",4700,2.5,0.5,"85598-149832","@GB",190,49,4.5,22.2
"Jordan Mason","RB","SF",5100,2.49,0.5,"85598-86875","ARI",-949,40.5,-14,27.2
"Mo Alie-Cox","TE","IND",4400,2.46,0.6,"85598-24533","HOU",-148,38,-2.5,20.2
"Teagan Quitoriano","TE","HOU",4200,2.44,0.6,"85598-93026","@IND",126,38,2.5,17.8
"A.J. Green","WR","ARI",5100,2.42,0.5,"85598-14187","@SF",635,40.5,14,13.2
"Tre'Quan Smith","WR","NO",4800,2.42,0.5,"85598-57342","CAR",-177,42,-3.5,22.8
"Eric Saubert","TE","DEN",4500,2.33,0.5,"85598-79980","LAC",-144,40,-2.5,21.2
"Adam Trautman","TE","NO",4600,2.32,0.5,"85598-130270","CAR",-177,42,-3.5,22.8
"Tyrion Davis-Price","RB","SF",4900,2.21,0.5,"85598-102893","ARI",-949,40.5,-14,27.2
"Anthony Firkser","TE","ATL",4300,2.16,0.5,"85598-80294","TB",-198,40.5,-4,22.2
"Brevin Jordan","TE","HOU",4400,2.13,0.5,"85598-94094","@IND",126,38,2.5,17.8
"Brycen Hopkins","TE","LAR",4400,2.08,0.5,"85598-63697","@SEA",221,41.5,6,17.8
"Josh Oliver","TE","BAL",4300,2.06,0.5,"85598-63907","@CIN",258,41,7,17
"Hassan Haskins","RB","TEN",5400,2.03,0.4,"85598-91361","@JAX",227,40,6.5,16.8
"Boston Scott","RB","PHI",4900,2.01,0.4,"85598-43433","NYG",-962,43,-14,28.5
"Sammy Watkins","WR","BAL",4900,1.96,0.4,"85598-24641","@CIN",258,41,7,17
"Nyheim Hines","RB","BUF",5600,1.93,0.3,"85598-63625","NE",-300,42.5,-7,24.8
"Robbie Anderson","WR","ARI",5000,1.93,0.4,"85598-26251","@SF",635,40.5,14,13.2
