"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"ATL","@SD - Musgrove ( R )","Eddie Rosario","Marcell Ozuna","Travis d'Arnaud",8900,28,3.1
"SD","ATL - Morton ( R )","Jurickson Profar","Luke Voit","Manny Machado",9800,28,2.9
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Jack Mayfield","Mike Trout",9100,28,3.1
"COL","CHC - Steele ( L )","Brendan Rodgers","Ryan McMahon","Yonathan Daza",9500,28,2.9
"DET","@KC - Greinke ( R )","Akil Baddoo","Austin Meadows","Dustin Garneau",7400,27.9,3.8
"PIT","WAS - Adon ( R )","Andrew Knapp","Bryan Reynolds","Ke'Bryan Hayes",8200,27.9,3.4
"TEX","LAA - Ohtani ( R )","Adolis Garcia","Andy Ibanez","Mitch Garver",8200,27.9,3.4
"WSH","@PIT - Brubaker ( R )","Keibert Ruiz","Nelson Cruz","Riley Adams",7900,27.9,3.5
"DET","@KC - Greinke ( R )","Austin Meadows","Javier Baez","Victor Reyes",8600,27.9,3.2
"MIA","PHI - Gibson ( R )","Jesus Sanchez","Joey Wendle","Miguel Rojas",7200,27.9,3.9
"PHI","@MIA - Alcantara ( R )","Alec Bohm","Bryce Harper","Kyle Schwarber",10200,27.9,2.7
"ATL","@SD - Musgrove ( R )","Austin Riley","Dansby Swanson","Travis d'Arnaud",9900,27.9,2.8
"CIN","@LAD - Buehler ( R )","Joey Votto","Tyler Naquin","Tyler Stephenson",9000,27.9,3.1
"MIA","PHI - Gibson ( R )","Avisail Garcia","Jacob Stallings","Jazz Chisholm Jr.",8900,27.9,3.1
"SD","ATL - Morton ( R )","Luke Voit","Manny Machado","Wil Myers",9400,27.9,3
"TEX","LAA - Ohtani ( R )","Andy Ibanez","Kole Calhoun","Marcus Semien",7800,27.9,3.6
"CHC","@COL - Freeland ( L )","Alfonso Rivas","Nico Hoerner","Seiya Suzuki",9100,27.9,3.1
"CHC","@COL - Freeland ( L )","Jonathan Villar","Michael Hermosillo","Seiya Suzuki",8800,27.9,3.2
"DET","@KC - Greinke ( R )","Austin Meadows","Dustin Garneau","Robbie Grossman",7700,27.9,3.6
"COL","CHC - Steele ( L )","Brendan Rodgers","Dom Nunez","Ryan McMahon",9500,27.9,2.9
"ATL","@SD - Musgrove ( R )","Adam Duvall","Dansby Swanson","Marcell Ozuna",8900,27.9,3.1
"TEX","LAA - Ohtani ( R )","Marcus Semien","Nate Lowe","Willie Calhoun",8200,27.9,3.4
"PIT","WAS - Adon ( R )","Bryan Reynolds","Josh VanMeter","Ke'Bryan Hayes",8200,27.9,3.4
"CIN","@LAD - Buehler ( R )","Jake Fraley","Jonathan India","Tyler Naquin",8200,27.9,3.4
"PHI","@MIA - Alcantara ( R )","Didi Gregorius","J.T. Realmuto","Matt Vierling",7900,27.8,3.5
"MIA","PHI - Gibson ( R )","Jazz Chisholm Jr.","Joey Wendle","Miguel Rojas",8100,27.8,3.4
"SD","ATL - Morton ( R )","Austin Nola","Manny Machado","Trent Grisham",9300,27.8,3
"WSH","@PIT - Brubaker ( R )","Maikel Franco","Nelson Cruz","Riley Adams",7600,27.8,3.7
"LAA","@TEX - Dunning ( R )","Jo Adell","Jose Rojas","Tyler Wade",6400,27.8,4.3
"PIT","WAS - Adon ( R )","Bryan Reynolds","Diego Castillo","Ke'Bryan Hayes",8400,27.8,3.3
"TOR","@NYY - Severino ( R )","Bradley Zimmer","George Springer","Teoscar Hernandez",10000,27.8,2.8
"COL","CHC - Steele ( L )","Garrett Hampson","Randal Grichuk","Ryan McMahon",9800,27.8,2.8
"TOR","@NYY - Severino ( R )","Cavan Biggio","George Springer","Teoscar Hernandez",10000,27.8,2.8
"LAA","@TEX - Dunning ( R )","Andrew Velazquez","Anthony Rendon","Jo Adell",7300,27.8,3.8
"CHC","@COL - Freeland ( L )","Nico Hoerner","Rafael Ortega","Seiya Suzuki",9500,27.8,2.9
"MIA","PHI - Gibson ( R )","Jacob Stallings","Joey Wendle","Jorge Soler",7400,27.8,3.8
"SD","ATL - Morton ( R )","C.J. Abrams","Jake Cronenworth","Manny Machado",9300,27.8,3
"TOR","@NYY - Severino ( R )","Bo Bichette","Raimel Tapia","Zack Collins",8300,27.8,3.4
"DET","@KC - Greinke ( R )","Akil Baddoo","Austin Meadows","Harold Castro",7400,27.8,3.8
"PIT","WAS - Adon ( R )","Hoy Park","Ke'Bryan Hayes","Roberto Perez",7700,27.8,3.6
"NYY","TOR - Gausman ( R )","Aaron Hicks","Anthony Rizzo","Kyle Higashioka",7900,27.8,3.5
"SD","ATL - Morton ( R )","Eric Hosmer","Jake Cronenworth","Trent Grisham",8700,27.8,3.2
"CHC","@COL - Freeland ( L )","Jason Heyward","Nico Hoerner","Patrick Wisdom",8700,27.8,3.2
"PHI","@MIA - Alcantara ( R )","J.T. Realmuto","Jean Segura","Matt Vierling",8900,27.8,3.1
