"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"MIL","PHI","Rowdy Tellez","Willy Adames","Bryce Harper","Rhys Hoskins",13300,58,4.4
"MIL","PHI","Christian Yelich","Rowdy Tellez","Bryce Harper","Nick Castellanos",13600,58,4.3
"PHI","TB","Nick Castellanos","Rhys Hoskins","Mike Zunino","Randy Arozarena",12900,58,4.5
"PHI","TB","Bryce Harper","Rhys Hoskins","Kevin Kiermaier","Wander Franco",13700,58,4.2
"CHC","PHI","Frank Schwindel","Willson Contreras","Bryce Harper","Nick Castellanos",14500,58,4
"MIN","PHI","Jorge Polanco","Luis Arraez","Bryce Harper","Rhys Hoskins",13900,58,4.2
"KC","PHI","Salvador Perez","Whit Merrifield","Bryce Harper","J.T. Realmuto",14200,58,4.1
"PHI","TB","Bryce Harper","Nick Castellanos","Manuel Margot","Mike Zunino",13300,58,4.4
"PHI","TB","Bryce Harper","Kyle Schwarber","Brandon Lowe","Wander Franco",14600,57.9,4
"KC","PHI","Bobby Witt Jr.","Salvador Perez","Bryce Harper","Nick Castellanos",14400,57.9,4
"MIL","PHI","Andrew McCutchen","Rowdy Tellez","Bryce Harper","Rhys Hoskins",13200,57.9,4.4
"OAK","PHI","Sean Murphy","Tony Kemp","Bryce Harper","Nick Castellanos",13900,57.9,4.2
"MIL","PHI","Christian Yelich","Rowdy Tellez","Bryce Harper","Rhys Hoskins",13300,57.9,4.4
"PHI","SD","Bryce Harper","Rhys Hoskins","Luke Voit","Manny Machado",14800,57.9,3.9
"PHI","TB","Bryce Harper","J.T. Realmuto","Brandon Lowe","Yandy Diaz",14100,57.9,4.1
"HOU","PHI","Yordan Alvarez","Yuli Gurriel","Bryce Harper","J.T. Realmuto",14500,57.9,4
"BOS","PHI","Trevor Story","Xander Bogaerts","Bryce Harper","Johan Camargo",13200,57.9,4.4
"BOS","PHI","Bobby Dalbec","Rafael Devers","Bryce Harper","J.T. Realmuto",14800,57.9,3.9
"KC","PHI","Hunter Dozier","Salvador Perez","Bryce Harper","Nick Castellanos",14300,57.9,4
"MIL","PHI","Hunter Renfroe","Lorenzo Cain","Bryce Harper","Nick Castellanos",13300,57.9,4.4
"PHI","TB","Bryce Harper","Jean Segura","Brandon Lowe","Randy Arozarena",14300,57.9,4
"PHI","TB","J.T. Realmuto","Rhys Hoskins","Brandon Lowe","Wander Franco",14800,57.9,3.9
"MIN","PHI","Jorge Polanco","Max Kepler","Bryce Harper","J.T. Realmuto",14100,57.9,4.1
"CHC","PHI","Frank Schwindel","Willson Contreras","Bryce Harper","Rhys Hoskins",14200,57.9,4.1
"HOU","PHI","Kyle Tucker","Yuli Gurriel","Bryce Harper","J.T. Realmuto",14100,57.8,4.1
"PHI","TB","Bryce Harper","Rhys Hoskins","Manuel Margot","Mike Zunino",13000,57.8,4.4
"KC","PHI","Bobby Witt Jr.","Salvador Perez","Bryce Harper","Rhys Hoskins",14100,57.8,4.1
"MIN","PHI","Carlos Correa","Max Kepler","Bryce Harper","Nick Castellanos",14300,57.8,4
"OAK","PHI","Sean Murphy","Tony Kemp","Bryce Harper","Rhys Hoskins",13600,57.8,4.3
"PHI","TOR","Bryce Harper","Nick Castellanos","Bo Bichette","Raimel Tapia",14200,57.8,4.1
"BOS","PHI","J.D. Martinez","Trevor Story","Bryce Harper","Johan Camargo",13400,57.8,4.3
"BOS","PHI","J.D. Martinez","Xander Bogaerts","Bryce Harper","Johan Camargo",13900,57.8,4.2
"MIL","PHI","Kolten Wong","Willy Adames","Bryce Harper","J.T. Realmuto",13500,57.8,4.3
"PHI","TB","Bryce Harper","J.T. Realmuto","Harold Ramirez","Wander Franco",13900,57.8,4.2
"KC","PHI","Hunter Dozier","Salvador Perez","Bryce Harper","Rhys Hoskins",14000,57.8,4.1
"MIL","PHI","Hunter Renfroe","Lorenzo Cain","Bryce Harper","Rhys Hoskins",13000,57.8,4.4
"MIN","PHI","Jorge Polanco","Miguel Sano","Bryce Harper","Nick Castellanos",14000,57.8,4.1
"LAA","PHI","Shohei Ohtani","Taylor Ward","Bryce Harper","J.T. Realmuto",14800,57.8,3.9
"BOS","PHI","Bobby Dalbec","Enrique Hernandez","Bryce Harper","J.T. Realmuto",14100,57.7,4.1
"PHI","TB","Nick Castellanos","Rhys Hoskins","Brandon Lowe","Randy Arozarena",14200,57.7,4.1
"PHI","TB","Bryce Harper","J.T. Realmuto","Manuel Margot","Randy Arozarena",13700,57.7,4.2
"COL","PHI","Kris Bryant","Sam Hilliard","Bryce Harper","Nick Castellanos",14700,57.7,3.9
"MIN","PHI","Carlos Correa","Max Kepler","Bryce Harper","Rhys Hoskins",14000,57.7,4.1
"PHI","TB","J.T. Realmuto","Nick Castellanos","Wander Franco","Yandy Diaz",14100,57.7,4.1
"PHI","TOR","Bryce Harper","Rhys Hoskins","Bo Bichette","Raimel Tapia",13900,57.7,4.2
"PHI","TB","Bryce Harper","Nick Castellanos","Brandon Lowe","Manuel Margot",14600,57.7,4
"MIL","PHI","Andrew McCutchen","Kolten Wong","Bryce Harper","J.T. Realmuto",13400,57.7,4.3
"PHI","TOR","Bryce Harper","Nick Castellanos","Bo Bichette","Matt Chapman",14900,57.7,3.9
"PHI","SD","Bryce Harper","Rhys Hoskins","Manny Machado","Wil Myers",14700,57.7,3.9
"PHI","TB","Jean Segura","Nick Castellanos","Randy Arozarena","Wander Franco",14300,57.7,4
"MIN","PHI","Jorge Polanco","Trevor Larnach","Bryce Harper","Nick Castellanos",13700,57.7,4.2
"PHI","TB","Bryce Harper","Johan Camargo","Mike Zunino","Randy Arozarena",11700,57.7,4.9
"PHI","TB","Bryce Harper","Kyle Schwarber","Wander Franco","Yandy Diaz",13600,57.7,4.2
"PHI","TB","Bryce Harper","Nick Castellanos","Harold Ramirez","Randy Arozarena",13300,57.7,4.3
"MIL","PHI","Christian Yelich","Kolten Wong","Bryce Harper","J.T. Realmuto",13500,57.7,4.3
"MIN","PHI","Jorge Polanco","Miguel Sano","Bryce Harper","Rhys Hoskins",13700,57.7,4.2
"HOU","PHI","Alex Bregman","Yuli Gurriel","Bryce Harper","Nick Castellanos",14500,57.7,4
"COL","PHI","Charlie Blackmon","Connor Joe","Bryce Harper","Rhys Hoskins",14800,57.6,3.9
"MIL","PHI","Hunter Renfroe","Omar Narvaez","Bryce Harper","Nick Castellanos",13200,57.6,4.4
"PHI","TB","Bryce Harper","Jean Segura","Randy Arozarena","Yandy Diaz",13300,57.6,4.3
"COL","PHI","Kris Bryant","Sam Hilliard","Bryce Harper","Rhys Hoskins",14400,57.6,4
"PHI","TB","J.T. Realmuto","Rhys Hoskins","Wander Franco","Yandy Diaz",13800,57.6,4.2
"PHI","TB","Bryce Harper","Rhys Hoskins","Brandon Lowe","Manuel Margot",14300,57.6,4
"MIL","PHI","Hunter Renfroe","Willy Adames","Bryce Harper","Jean Segura",13600,57.6,4.2
"PHI","TOR","Bryce Harper","Rhys Hoskins","Bo Bichette","Matt Chapman",14600,57.6,3.9
"PHI","TB","Jean Segura","Rhys Hoskins","Randy Arozarena","Wander Franco",14000,57.6,4.1
"HOU","PHI","Alex Bregman","Jose Altuve","Bryce Harper","J.T. Realmuto",14800,57.6,3.9
"KC","PHI","Adalberto Mondesi","Salvador Perez","Bryce Harper","J.T. Realmuto",14100,57.6,4.1
"MIL","PHI","Lorenzo Cain","Willy Adames","Bryce Harper","Nick Castellanos",13500,57.6,4.3
"MIN","PHI","Jorge Polanco","Trevor Larnach","Bryce Harper","Rhys Hoskins",13400,57.6,4.3
"PHI","TB","Bryce Harper","Rhys Hoskins","Harold Ramirez","Randy Arozarena",13000,57.6,4.4
"PHI","TB","Bryce Harper","Jean Segura","Manuel Margot","Wander Franco",14400,57.5,4
"HOU","PHI","Alex Bregman","Yuli Gurriel","Bryce Harper","Rhys Hoskins",14200,57.5,4.1
"MIL","PHI","Hunter Renfroe","Rowdy Tellez","Bryce Harper","J.T. Realmuto",13200,57.5,4.4
"HOU","PHI","Jose Altuve","Yordan Alvarez","Bryce Harper","Jean Segura",14900,57.5,3.9
"MIL","PHI","Hunter Renfroe","Omar Narvaez","Bryce Harper","Rhys Hoskins",12900,57.5,4.5
"KC","PHI","Andrew Benintendi","Salvador Perez","Bryce Harper","Nick Castellanos",14700,57.5,3.9
"COL","PHI","Charlie Blackmon","Sam Hilliard","Bryce Harper","Nick Castellanos",13900,57.5,4.1
"PHI","SD","Bryce Harper","Rhys Hoskins","Austin Nola","Manny Machado",14700,57.5,3.9
"PHI","TB","Nick Castellanos","Rhys Hoskins","Randy Arozarena","Yandy Diaz",13200,57.5,4.4
"MIL","PHI","Andrew McCutchen","Hunter Renfroe","Bryce Harper","Jean Segura",13500,57.5,4.3
"MIL","PHI","Andrew McCutchen","Lorenzo Cain","Bryce Harper","Nick Castellanos",13400,57.5,4.3
