"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Tyler Boyd","WR","CIN",5900,7.76,1.3,"81443-40669",NA,NA,NA,NA,NA,4.7,0.8
"Tyler Allgeier","RB","ATL",5700,9.27,1.6,"81443-90428","@TB",360,46.5,10,18.2,4.5,0.8
"J.K. Dobbins","RB","BAL",6500,11.98,1.8,"81443-87787",NA,NA,NA,NA,NA,4.4,0.7
"Garrett Wilson","WR","NYJ",6000,9.11,1.5,"81443-103564","MIA",153,46,3.5,21.2,4.2,0.7
"Cooper Rush","QB","DAL",6500,14.66,2.3,"81443-44715","@LAR",193,42.5,5.5,18.5,4,0.6
"Brandin Cooks","WR","HOU",6800,12.16,1.8,"81443-29501","@JAX",261,43.5,7,18.2,4,0.6
"Josh Palmer","WR","LAC",5500,8.62,1.6,"81443-87418","@CLE",-122,47,-2,24.5,3.9,0.7
"Jaylen Waddle","WR","MIA",7700,14.03,1.8,"81443-90573","@NYJ",-182,46,-3.5,24.8,3.8,0.5
"Amon-Ra St. Brown","WR","DET",8200,11.69,1.4,"81443-86997","@NE",134,46.5,3,21.8,3.8,0.5
"Rex Burkhead","RB","HOU",5100,6.67,1.3,"81443-27338","@JAX",261,43.5,7,18.2,3.8,0.7
"Robbie Anderson","WR","CAR",5500,7.14,1.3,"81443-26251","SF",217,40,6.5,16.8,3.7,0.7
"Kyle Juszczyk","RB","SF",4600,2.37,0.5,"81443-39428","@CAR",-267,40,-6.5,23.2,3.7,0.8
"Mark Ingram","RB","NO",6000,5.94,1,"81443-14211","SEA",-233,45.5,-5.5,25.5,3.6,0.6
"Mike Gesicki","TE","MIA",5000,4.72,0.9,"81443-56265","@NYJ",-182,46,-3.5,24.8,3.5,0.7
"A.J. Green","WR","ARI",5100,4.39,0.9,"81443-14187","PHI",184,48.5,5.5,21.5,3.5,0.7
"Caleb Huntley","RB","ATL",5600,5.16,0.9,"81443-89157","@TB",360,46.5,10,18.2,3.4,0.6
"Equanimeous St. Brown","WR","CHI",5200,5.06,1,"81443-64841","@MIN",281,44,7.5,18.2,3.4,0.7
"Quintin Morris","TE","BUF",4200,3.73,0.9,"81443-90123","PIT",-860,45.5,-14,29.8,3.4,0.8
"Quez Watkins","WR","PHI",5000,3.27,0.7,"81443-73687","@ARI",-230,48.5,-5.5,27,3.4,0.7
"Cam Akers","RB","LAR",6100,9.44,1.5,"81443-89230","DAL",-235,42.5,-5.5,24,3.3,0.5
"Jordan Akins","TE","HOU",4400,2.96,0.7,"81443-57338","@JAX",261,43.5,7,18.2,3.2,0.7
"Kenyan Drake","RB","BAL",4600,2.28,0.5,"81443-30989",NA,NA,NA,NA,NA,3.2,0.7
"Will Dissly","TE","SEA",5100,4.41,0.9,"81443-56708","@NO",190,45.5,5.5,20,3.1,0.6
"Cedrick Wilson","WR","MIA",4800,2.78,0.6,"81443-69581","@NYJ",-182,46,-3.5,24.8,3,0.6
"Zay Jones","WR","JAX",5700,8.7,1.5,"81443-41305","HOU",-323,43.5,-7,25.2,2.7,0.5
"Allen Robinson","WR","LAR",5700,8.02,1.4,"81443-28643","DAL",-235,42.5,-5.5,24,2.7,0.5
"Dan Arnold","TE","JAX",4200,1.46,0.3,"81443-80546","HOU",-323,43.5,-7,25.2,2.5,0.6
"Pat Freiermuth","TE","PIT",5800,8.08,1.4,"81443-86244","@BUF",583,45.5,14,15.8,2.2,0.4
"Brian Robinson","RB","WAS",5500,2.91,0.5,"81443-90562","TEN",-106,43,0.5,21.2,2.2,0.4
"C.J. Uzomah","TE","NYJ",4300,2.44,0.6,"81443-31207","MIA",153,46,3.5,21.2,2.2,0.5
"Kenneth Gainwell","RB","PHI",5200,5.34,1,"81443-90912","@ARI",-230,48.5,-5.5,27,2,0.4
"DeAndre Carter","WR","LAC",5100,6.22,1.2,"81443-62628","@CLE",-122,47,-2,24.5,1.9,0.4
"Juwan Johnson","TE","NO",4700,4.59,1,"81443-64808","SEA",-233,45.5,-5.5,25.5,1.8,0.4
"Ian Thomas","TE","CAR",4400,3.03,0.7,"81443-72515","SF",217,40,6.5,16.8,1.8,0.4
"Damien Harris","RB","NE",7200,12.78,1.8,"81443-64576","DET",-157,46.5,-3,24.8,1.7,0.2
"Isaiah Likely","TE","BAL",4200,4.5,1.1,"81443-87260",NA,NA,NA,NA,NA,1.7,0.4
"Christian Kirk","WR","JAX",7600,12.71,1.7,"81443-60858","HOU",-323,43.5,-7,25.2,1.6,0.2
"Elijah Moore","WR","NYJ",5300,8.25,1.6,"81443-88575","MIA",153,46,3.5,21.2,1.6,0.3
"Anthony Firkser","TE","ATL",4300,3.16,0.7,"81443-80294","@TB",360,46.5,10,18.2,1.6,0.4
"Johnny Mundt","TE","MIN",4300,2.35,0.5,"81443-40371","CHI",-350,44,-7.5,25.8,1.6,0.4
"Marquez Callaway","WR","NO",5100,6.83,1.3,"81443-71246","SEA",-233,45.5,-5.5,25.5,1.5,0.3
"Tre'Quan Smith","WR","NO",4900,5.28,1.1,"81443-57342","SEA",-233,45.5,-5.5,25.5,1.5,0.3
"Bryan Edwards","WR","ATL",4700,1.95,0.4,"81443-69276","@TB",360,46.5,10,18.2,1.5,0.3
"DeeJay Dallas","RB","SEA",4700,1.69,0.4,"81443-94087","@NO",190,45.5,5.5,20,1.5,0.3
"Parker Hesse","TE","ATL",4400,3.69,0.8,"81443-58499","@TB",360,46.5,10,18.2,1.4,0.3
"Justin Jackson","RB","DET",4800,3.01,0.6,"81443-55165","@NE",134,46.5,3,21.8,1.4,0.3
"Demarcus Robinson","WR","BAL",5000,6.23,1.2,"81443-38264",NA,NA,NA,NA,NA,1.3,0.3
"Tylan Wallace","WR","BAL",4600,3.01,0.7,"81443-87515",NA,NA,NA,NA,NA,1.3,0.3
"Kyle Philips","WR","TEN",5200,5.07,1,"81443-91902","@WAS",-112,43,-0.5,21.8,1.2,0.2
"Austin Hooper","TE","TEN",4500,3.94,0.9,"81443-40126","@WAS",-112,43,-0.5,21.8,1.2,0.3
"James Proche","WR","BAL",4600,2.8,0.6,"81443-63186",NA,NA,NA,NA,NA,1.2,0.3
"Cam Sims","WR","WAS",4500,2.12,0.5,"81443-54472","TEN",-106,43,0.5,21.2,1.2,0.3
"T.J. Hockenson","TE","DET",7000,10.28,1.5,"81443-71706","@NE",134,46.5,3,21.8,1.1,0.2
"Khalil Herbert","RB","CHI",7100,7.27,1,"81443-72412","@MIN",281,44,7.5,18.2,1.1,0.2
"David Bell","WR","CLE",4800,3.24,0.7,"81443-114180","LAC",104,47,2,22.5,1.1,0.2
"Noah Brown","WR","DAL",5400,5.91,1.1,"81443-56248","@LAR",193,42.5,5.5,18.5,1,0.2
"Trent Sherfield","WR","MIA",5000,2.87,0.6,"81443-56059","@NYJ",-182,46,-3.5,24.8,1,0.2
"Geoff Swaim","TE","TEN",4400,2.73,0.6,"81443-38523","@WAS",-112,43,-0.5,21.8,1,0.2
"Darrel Williams","RB","ARI",5000,2.94,0.6,"81443-52897","PHI",184,48.5,5.5,21.5,0.9,0.2
"Gerald Everett","TE","LAC",6300,8.39,1.3,"81443-57299","@CLE",-122,47,-2,24.5,0.7,0.1
"Zack Moss","RB","BUF",5100,4.29,0.8,"81443-70027","PIT",-860,45.5,-14,29.8,0.7,0.1
"Ryan Griffin","TE","CHI",4200,2.19,0.5,"81443-34073","@MIN",281,44,7.5,18.2,0.6,0.1
"Kendrick Bourne","WR","NE",5200,5.35,1,"81443-80289","DET",-157,46.5,-3,24.8,0.5,0.1
"Jamal Agnew","WR","JAX",5300,2.8,0.5,"81443-79979","HOU",-323,43.5,-7,25.2,0.3,0.1
"Mike Davis","RB","BAL",4600,2.51,0.5,"81443-30635",NA,NA,NA,NA,NA,0.3,0.1
"Zander Horvath","RB","LAC",4600,1.32,0.3,"81443-93404","@CLE",-122,47,-2,24.5,0.3,0.1
"D'Onta Foreman","RB","CAR",5200,1.69,0.3,"81443-55830","SF",217,40,6.5,16.8,0.2,0
"Chase Edmonds","RB","MIA",5700,8.07,1.4,"81443-83081","@NYJ",-182,46,-3.5,24.8,0.1,0
"Brandon Powell","WR","LAR",4700,1.48,0.3,"81443-52345","DAL",-235,42.5,-5.5,24,0.1,0
"Teddy Bridgewater","QB","MIA",6400,17.68,2.8,"81443-33259","@NYJ",-182,46,-3.5,24.8,0,0
"DeVante Parker","WR","NE",5700,7.52,1.3,"81443-33260","DET",-157,46.5,-3,24.8,0,0
"Nelson Agholor","WR","NE",5500,7.37,1.3,"81443-29683","DET",-157,46.5,-3,24.8,0,0
"Dalton Schultz","TE","DAL",4800,7.08,1.5,"81443-55042","@LAR",193,42.5,5.5,18.5,0,0
"Tyler Conklin","TE","NYJ",5300,6.57,1.2,"81443-60451","MIA",153,46,3.5,21.2,0,0
"O.J. Howard","TE","HOU",4500,5.26,1.2,"81443-39286","@JAX",261,43.5,7,18.2,0,0
"Sony Michel","RB","LAC",5300,4.31,0.8,"81443-53640","@CLE",-122,47,-2,24.5,0,0
"Greg Dortch","WR","ARI",4900,3.73,0.8,"81443-69558","PHI",184,48.5,5.5,21.5,0,0
"Harrison Bryant","TE","CLE",4600,3.69,0.8,"81443-70601","LAC",104,47,2,22.5,0,0
"Dante Pettis","WR","CHI",4900,3.47,0.7,"81443-56698","@MIN",281,44,7.5,18.2,0,0
"Tom Kennedy","WR","DET",4900,3.17,0.6,"81443-104388","@NE",134,46.5,3,21.8,0,0
"D'Wayne Eskridge","WR","SEA",4700,2.43,0.5,"81443-72182","@NO",190,45.5,5.5,20,0,0
"Ross Dwelley","TE","SF",4500,2.41,0.5,"81443-83138","@CAR",-267,40,-6.5,23.2,0,0
"Tommy Tremble","TE","CAR",4600,2.38,0.5,"81443-91101","SF",217,40,6.5,16.8,0,0
"Cody Hollister","WR","TEN",4900,2.35,0.5,"81443-53913","@WAS",-112,43,-0.5,21.8,0,0
"Donald Parham","TE","LAC",4200,2.33,0.6,"81443-104278","@CLE",-122,47,-2,24.5,0,0
"Jordan Mason","RB","SF",5500,2.23,0.4,"81443-86875","@CAR",-267,40,-6.5,23.2,0,0
"Deonte Harty","WR","NO",4600,2.14,0.5,"81443-104176","SEA",-233,45.5,-5.5,25.5,0,0
"Damiere Byrd","WR","ATL",4600,2.1,0.5,"81443-30678","@TB",360,46.5,10,18.2,0,0
"Ty Johnson","RB","NYJ",4600,1.99,0.4,"81443-63050","MIA",153,46,3.5,21.2,0,0
"Kyle Rudolph","TE","TB",4500,1.93,0.4,"81443-14237","ATL",-466,46.5,-10,28.2,0,0
"Ray-Ray McCloud","WR","SF",5000,1.92,0.4,"81443-62055","@CAR",-267,40,-6.5,23.2,0,0
"Ko Kieft","TE","TB",4000,1.76,0.4,"81443-68714","ATL",-466,46.5,-10,28.2,0,0
"Tre' McKitty","TE","LAC",4300,1.54,0.4,"81443-89283","@CLE",-122,47,-2,24.5,0,0
"River Cracraft","WR","MIA",4900,1.46,0.3,"81443-41997","@NYJ",-182,46,-3.5,24.8,0,0
"Josh Oliver","TE","BAL",4300,1.46,0.3,"81443-63907",NA,NA,NA,NA,NA,0,0
"Armani Rogers","TE","WAS",4000,1.1,0.3,"81443-72863","TEN",-106,43,0.5,21.2,0,0
