"Team","Opp","Player1","Player2","Salary","Proj","Value"
"OAK","BAL - Watkins ( R )","Billy McKinney","Jed Lowrie",5100,22.3,4.4
"LAA","@HOU - Garcia ( R )","Jared Walsh","Jose Rojas",5200,22.3,4.3
"LAD","ATL - Ynoa ( R )","Freddie Freeman","Justin Turner",7000,22.3,3.2
"OAK","BAL - Watkins ( R )","Elvis Andrus","Tony Kemp",5500,22.3,4.1
"PHI","@COL - Kuhl ( R )","Garrett Stubbs","Kyle Schwarber",6000,22.3,3.7
"WSH","ARI - Bumgarner ( L )","Cesar Hernandez","Maikel Franco",5400,22.3,4.1
"LAD","ATL - Ynoa ( R )","Edwin Rios","Mookie Betts",5800,22.2,3.8
"HOU","LAA - Lorenzen ( R )","Chas McCormick","Yordan Alvarez",6100,22.2,3.6
"SD","CIN - Lodolo ( L )","Luke Voit","Trent Grisham",5500,22.2,4
"PIT","@MIL - Lauer ( L )","Bryan Reynolds","Ke'Bryan Hayes",6300,22.2,3.5
"PHI","@COL - Kuhl ( R )","Bryson Stott","Kyle Schwarber",6600,22.2,3.4
"PHI","@COL - Kuhl ( R )","Alec Bohm","J.T. Realmuto",7300,22.2,3
"WSH","ARI - Bumgarner ( L )","Juan Soto","Victor Robles",6400,22.2,3.5
"LAA","@HOU - Garcia ( R )","Shohei Ohtani","Tyler Wade",6500,22.2,3.4
"LAA","@HOU - Garcia ( R )","Shohei Ohtani","Taylor Ward",6800,22.2,3.3
"SD","CIN - Lodolo ( L )","Trent Grisham","Wil Myers",5300,22.1,4.2
"MIL","PIT - Thompson ( R )","Hunter Renfroe","Lorenzo Cain",5100,22.1,4.3
"LAD","ATL - Ynoa ( R )","Edwin Rios","Trea Turner",5900,22.1,3.8
"ATL","@LAD - Kershaw ( L )","Marcell Ozuna","Ozzie Albies",7100,22.1,3.1
"TB","@CHC - Hendricks ( R )","Mike Zunino","Randy Arozarena",5000,22.1,4.4
"MIL","PIT - Thompson ( R )","Andrew McCutchen","Willy Adames",5800,22.1,3.8
"HOU","LAA - Lorenzen ( R )","Jose Altuve","Michael Brantley",6200,22.1,3.6
"LAA","@HOU - Garcia ( R )","Jo Adell","Shohei Ohtani",6900,22.1,3.2
"OAK","BAL - Watkins ( R )","Chad Pinder","Seth Brown",5300,22.1,4.2
"COL","PHI - Nola ( R )","Brendan Rodgers","C.J. Cron",7200,22.1,3.1
"OAK","BAL - Watkins ( R )","Chad Pinder","Sean Murphy",5400,22.1,4.1
"SD","CIN - Lodolo ( L )","Jake Cronenworth","Trent Grisham",5700,22.1,3.9
"LAD","ATL - Ynoa ( R )","Cody Bellinger","Freddie Freeman",6700,22,3.3
