"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP","Roster"
"Rome Odunze","WR","CHI",5800,9.29,1.6,"105738-120033","TEN",45.5,-4.5,25,0
"Diontae Johnson","WR","CAR",5600,9.29,1.7,"105738-66008","@NO",40,4.5,17.75,7.74
"Josh Palmer","WR","LAC",5000,9.16,1.8,"105738-87418","LV",41,-3.5,22.25,NA
"Kyle Pitts","TE","ATL",6300,9.12,1.4,"105738-86080","PIT",41,-3,22,5.42
"Chase Brown","RB","CIN",5400,9.06,1.7,"105738-89493","NE",40.5,-9,24.75,0
"Austin Ekeler","RB","WAS",5900,8.94,1.5,"105738-80001","@TB",43.5,3.5,20,18.78
"Brian Thomas","WR","JAX",5100,8.92,1.7,"105738-151745","@MIA",49.5,3,23.25,0
"Tyler Lockett","WR","SEA",6000,8.9,1.5,"105738-27050","DEN",42,-5.5,23.75,6.54
"Courtland Sutton","WR","DEN",5500,8.88,1.6,"105738-57403","@SEA",42,5.5,18.25,10.28
"Curtis Samuel","WR","BUF",5200,8.73,1.7,"105738-52613","ARI",48,-6,27,3.32
"Jordan Addison","WR","MIN",5700,8.68,1.5,"105738-129210","@NYG",41.5,-1,21.25,4.42
"Jameson Williams","WR","DET",5800,8.64,1.5,"105738-111631",NA,NA,NA,NA,0
"Jaylen Warren","RB","PIT",5700,8.63,1.5,"105738-112057","@ATL",41,3,19,0.74
"Jaxon Smith-Njigba","WR","SEA",5200,8.58,1.6,"105738-129458","DEN",42,-5.5,23.75,4.31
"Gus Edwards","RB","LAC",6000,8.48,1.4,"105738-40167","LV",41,-3.5,22.25,1.04
"Tyjae Spears","RB","TEN",5400,8.41,1.6,"105738-107293","@CHI",45.5,4.5,20.5,0.07
"David Njoku","TE","CLE",5900,8.37,1.4,"105738-55335","DAL",42,-2.5,22.25,4.71
"Jakobi Meyers","WR","LV",5100,8.27,1.6,"105738-63634","@LAC",41,3.5,18.75,3.36
"Jake Ferguson","TE","DAL",6000,8.26,1.4,"105738-89680","@CLE",42,2.5,19.75,3.76
"Khalil Shakir","WR","BUF",5400,8.15,1.5,"105738-86518","ARI",48,-6,27,0.34
"Jerry Jeudy","WR","CLE",5700,8.05,1.4,"105738-90561","DAL",42,-2.5,22.25,0
"Saints","D","NO",4700,8.03,1.7,"105738-12542","CAR",40,-4.5,22.25,NA
"Adam Thielen","WR","CAR",5400,8,1.5,"105738-39716","@NO",40,4.5,17.75,1.98
"Drake Maye","QB","NE",6500,7.79,1.2,"105738-152316","@CIN",40.5,9,15.75,0
"Bucs","D","TB",4900,7.76,1.6,"105738-12551","WAS",43.5,-3.5,23.5,NA
"Ladd McConkey","WR","LAC",5300,7.68,1.4,"105738-133472","LV",41,-3.5,22.25,0
"Rashid Shaheed","WR","NO",5200,7.6,1.5,"105738-170287","CAR",40,-4.5,22.25,3.62
"Bengals","D","CIN",4800,7.56,1.6,"105738-12528","NE",40.5,-9,24.75,NA
"Keon Coleman","WR","BUF",6000,7.55,1.3,"105738-157467","ARI",48,-6,27,0
"Gabe Davis","WR","JAX",6100,7.54,1.2,"105738-94534","@MIA",49.5,3,23.25,4.36
"Seahawks","D","SEA",4400,7.54,1.7,"105738-12550","DEN",42,-5.5,23.75,NA
"Wan'Dale Robinson","WR","NYG",4700,7.46,1.6,"105738-103539","MIN",41.5,1,20.25,0
"Demario Douglas","WR","NE",4000,7.41,1.9,"105738-111876","@CIN",40.5,9,15.75,NA
"Vikings","D","MIN",5000,7.4,1.5,"105738-12540","@NYG",41.5,-1,21.25,NA
"Brandin Cooks","WR","DAL",5300,7.38,1.4,"105738-29501","@CLE",42,2.5,19.75,6.3
"Chargers","D","LAC",4000,7.32,1.8,"105738-12548","LV",41,-3.5,22.25,NA
"Dalton Schultz","TE","HOU",5600,7.21,1.3,"105738-55042","@IND",49,-2.5,25.75,4.48
"Browns","D","CLE",4100,7.12,1.7,"105738-12529","DAL",42,-2.5,22.25,NA
"Bears","D","CHI",4000,7.1,1.8,"105738-12527","TEN",45.5,-4.5,25,NA
"Falcons","D","ATL",3600,7.07,2,"105738-12525","PIT",41,-3,22,NA
"Tyler Allgeier","RB","ATL",5500,6.86,1.2,"105738-90428","PIT",41,-3,22,2.03
"Bills","D","BUF",4600,6.82,1.5,"105738-12526","ARI",48,-6,27,NA
"Cowboys","D","DAL",4500,6.82,1.5,"105738-12530","@CLE",42,2.5,19.75,NA
"Michael Wilson","WR","ARI",4500,6.64,1.5,"105738-89612","@BUF",48,6,21,2.36
"Ty Chandler","RB","MIN",5100,6.62,1.3,"105738-87371","@NYG",41.5,-1,21.25,0.44
"Taysom Hill","TE","NO",5500,6.61,1.2,"105738-45565","CAR",40,-4.5,22.25,1.54
"Texans","D","HOU",3900,6.57,1.7,"105738-12556","@IND",49,-2.5,25.75,NA
"Giants","D","NYG",3800,6.57,1.7,"105738-12543","MIN",41.5,1,20.25,NA
"Darius Slayton","WR","NYG",4200,6.53,1.6,"105738-63819","MIN",41.5,1,20.25,2.36
"Brock Bowers","TE","LV",5400,6.48,1.2,"105738-151794","@LAC",41,3.5,18.75,0
"Zach Charbonnet","RB","SEA",5300,6.48,1.2,"105738-103376","DEN",42,-5.5,23.75,3.45
"J.K. Dobbins","RB","LAC",5500,6.37,1.2,"105738-87787","LV",41,-3.5,22.25,8.95
"Dolphins","D","MIA",4200,6.32,1.5,"105738-12539","JAX",49.5,-3,26.25,NA
"Steelers","D","PIT",4300,6.27,1.5,"105738-12547","@ATL",41,3,19,NA
"Blake Corum","RB","LAR",5400,6.24,1.2,"105738-137967",NA,NA,NA,NA,0
"Khalil Herbert","RB","CHI",5900,6.21,1.1,"105738-72412","TEN",45.5,-4.5,25,3.52
"Darnell Mooney","WR","ATL",4800,6.13,1.3,"105738-69777","PIT",41,-3,22,4.04
"Titans","D","TEN",3700,6.02,1.6,"105738-12534","@CHI",45.5,4.5,20.5,NA
"Commanders","D","WAS",3400,6.01,1.8,"105738-12552","@TB",43.5,3.5,20,NA
"Raiders","D","LV",3800,5.99,1.6,"105738-12537","@LAC",41,3.5,18.75,NA
"Rico Dowdle","RB","DAL",5200,5.98,1.2,"105738-72297","@CLE",42,2.5,19.75,0.3
"Colts","D","IND",3500,5.95,1.7,"105738-12535","HOU",49,2.5,23.25,NA
"Cole Kmet","TE","CHI",5100,5.9,1.2,"105738-91047","TEN",45.5,-4.5,25,4.41
"Broncos","D","DEN",3400,5.88,1.7,"105738-12531","@SEA",42,5.5,18.25,NA
"Antonio Gibson","RB","NE",5300,5.87,1.1,"105738-90933","@CIN",40.5,9,15.75,5.35
"Cade Otton","TE","TB",5200,5.83,1.1,"105738-86811","WAS",43.5,-3.5,23.5,2.82
"Adonai Mitchell","WR","IND",5500,5.82,1.1,"105738-151789","HOU",49,2.5,23.25,0
"Josh Downs","WR","IND",5500,5.81,1.1,"105738-129305","HOU",49,2.5,23.25,0.8
"Demarcus Robinson","WR","LAR",4200,5.81,1.4,"105738-38264",NA,NA,NA,NA,1.49
"Lions","D","DET",3900,5.76,1.5,"105738-12532",NA,NA,NA,NA,NA
"Jaleel McLaughlin","RB","DEN",5000,5.74,1.1,"105738-147051","@SEA",42,5.5,18.25,0.01
"Chig Okonkwo","TE","TEN",4800,5.7,1.2,"105738-88297","@CHI",45.5,4.5,20.5,NA
"D.J. Chark","WR","LAC",4800,5.65,1.2,"105738-52917","LV",41,-3.5,22.25,NA
"Ja'Lynn Polk","WR","NE",4800,5.65,1.2,"105738-120694","@CIN",40.5,9,15.75,0
"Jaguars","D","JAX",3700,5.65,1.5,"105738-12554","@MIA",49.5,3,23.25,NA
"Panthers","D","CAR",3200,5.62,1.8,"105738-12553","@NO",40,4.5,17.75,NA
"Patriots","D","NE",3100,5.56,1.8,"105738-12541","@CIN",40.5,9,15.75,NA
"Josh Reynolds","WR","DEN",4800,5.53,1.2,"105738-53097","@SEA",42,5.5,18.25,0.97
"Cardinals","D","ARI",3000,5.45,1.8,"105738-12546","@BUF",48,6,21,NA
"Pat Freiermuth","TE","PIT",5300,5.43,1,"105738-86244","@ATL",41,3,19,4.12
"Tre Tucker","WR","LV",4500,5.37,1.2,"105738-103619","@LAC",41,3.5,18.75,0
"Hunter Henry","TE","NE",4900,5.36,1.1,"105738-40845","@CIN",40.5,9,15.75,4.29
"Juwan Johnson","TE","NO",4700,5.36,1.1,"105738-64808","CAR",40,-4.5,22.25,4.22
"Rams","D","LAR",3300,5.33,1.6,"105738-12538",NA,NA,NA,NA,NA
"Noah Fant","TE","SEA",5000,5.3,1.1,"105738-71705","DEN",42,-5.5,23.75,2.83
"Jonnu Smith","TE","MIA",4600,5.27,1.1,"105738-48116","JAX",49.5,-3,26.25,0.77
"Colby Parkinson","TE","LAR",4700,5.21,1.1,"105738-89588",NA,NA,NA,NA,0.14
"Tyler Boyd","WR","TEN",4900,5.08,1,"105738-40669","@CHI",45.5,4.5,20.5,2.22
"Greg Dortch","WR","ARI",4600,4.97,1.1,"105738-69558","@BUF",48,6,21,0.53
"Roman Wilson","WR","PIT",5000,4.93,1,"105738-138037","@ATL",41,3,19,0
"Jalen McMillan","WR","TB",5000,4.88,1,"105738-120042","WAS",43.5,-3.5,23.5,0
"Xavier Legette","WR","CAR",4900,4.87,1,"105738-114198","@NO",40,4.5,17.75,0
"Andrei Iosivas","WR","CIN",4300,4.86,1.1,"105738-185593","NE",40.5,-9,24.75,0
"Trey Benson","RB","ARI",5000,4.76,1,"105738-142042","@BUF",48,6,21,0
"Quentin Johnston","WR","LAC",4900,4.75,1,"105738-120639","LV",41,-3.5,22.25,3.09
"Marvin Mims","WR","DEN",4300,4.75,1.1,"105738-120093","@SEA",42,5.5,18.25,4.94
"Hayden Hurst","TE","LAC",4800,4.69,1,"105738-64031","LV",41,-3.5,22.25,3.84
"Elijah Moore","WR","CLE",4500,4.66,1,"105738-88575","DAL",42,-2.5,22.25,6.33
"Jamaal Williams","RB","NO",5000,4.64,0.9,"105738-45631","CAR",40,-4.5,22.25,8.38
"K.J. Osborn","WR","NE",4600,4.61,1,"105738-63855","@CIN",40.5,9,15.75,1.43
