"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"TE","Davis Allen","LAR",NA,4300,2.17,0.5,NA,NA,NA,0.04
"WR","Jake Bobo","SEA","DEN",4100,2.15,0.5,42,-5.5,23.75,1.24
"WR","Zay Jones","ARI","@BUF",4600,2.14,0.5,48,6,21,0
"RB","Cordarrelle Patterson","PIT","@ATL",4700,2.13,0.5,41,3,19,0
"RB","Deuce Vaughn","DAL","@CLE",4700,2.12,0.5,42,2.5,19.75,0.02
"WR","Nick Westbrook-Ikhine","TEN","@CHI",4700,2.1,0.4,45.5,4.5,20.5,0.3
"WR","KaVontae Turpin","DAL","@CLE",4300,2.1,0.5,42,2.5,19.75,0
"TE","Brevin Jordan","HOU","@IND",4200,2.08,0.5,49,-2.5,25.75,0.41
"TE","Austin Hooper","NE","@CIN",4500,2.02,0.4,40.5,9,15.75,1.27
"TE","Darnell Washington","PIT","@ATL",4400,2.01,0.5,41,3,19,0.3
"WR","Trenton Irwin","CIN","NE",4400,2,0.5,40.5,-9,24.75,0.06
"RB","Trey Sermon","IND","HOU",4800,1.99,0.4,49,2.5,23.25,0
"TE","Josh Whyle","TEN","@CHI",4300,1.94,0.5,45.5,4.5,20.5,0.12
"RB","Pierre Strong","CLE","DAL",4300,1.94,0.5,42,-2.5,22.25,0.01
"WR","Brandon Powell","MIN","@NYG",4300,1.94,0.5,41.5,-1,21.25,0.01
"WR","Chris Moore","ARI","@BUF",4100,1.94,0.5,48,6,21,0.21
"WR","Tyquan Thornton","NE","@CIN",4000,1.94,0.5,40.5,9,15.75,0
"WR","Javon Baker","NE","@CIN",4900,1.89,0.4,40.5,9,15.75,0
"TE","Lucas Krull","DEN","@SEA",4300,1.88,0.4,42,5.5,18.25,0
"WR","Elijah Higgins","ARI","@BUF",4200,1.85,0.4,48,6,21,0
"RB","Jaylen Wright","MIA","JAX",4700,1.82,0.4,49.5,-3,26.25,0
"RB","Emari Demercado","ARI","@BUF",4400,1.8,0.4,48,6,21,0
