"Player","Pos","Team","Salary","Proj","Value","ID","OptPos","Pos2","Pos1","Opp","OU","SPRD","IMP","Roster"
"Coby White","PG","CHI",7500,36,4.8,"33277101","PG","","PG","WAS",226.5,-12.5,119.5,5.08
"Jusuf Nurkic","C","PHX",7200,35.86,5,"33277136","C","","C","@SAS",234,-13,123.5,4.71
"Kelly Olynyk","PF/C","TOR",7100,35.53,5,"33277142","PF/C","C","PF","BKN",219.5,6.5,106.5,11.11
"Mikal Bridges","SG/SF","BKN",6900,34.71,5,"33277159","SG/SF","SF","SG","@TOR",219.5,-6.5,113,15.35
"Nicolas Claxton","C","BKN",6400,34.62,5.4,"33277226","C","","C","@TOR",219.5,-6.5,113,4.83
"Scoot Henderson","PG","POR",6100,34.42,5.6,"33277249","PG","","PG","@HOU",225,12.5,106.25,1.36
"Desmond Bane","PG/SG","MEM",8100,33.66,4.2,"33277068","PG/SG","SG","PG","@DEN",213,15.5,98.75,10.39
"Ayo Dosunmu","PG/SG","CHI",7100,33.45,4.7,"33277138","PG/SG","SG","PG","WAS",226.5,-12.5,119.5,5.32
"Gary Trent","SG","TOR",6300,33.34,5.3,"33277211","SG","","SG","BKN",219.5,6.5,106.5,4.6
"Dennis Schroder","PG","BKN",6300,31.9,5.1,"33277232","PG","","PG","@TOR",219.5,-6.5,113,4.17
"Keyonte George","PG","UTA",6500,31.64,4.9,"33277208","PG","","PG","DAL",237.5,8.5,114.5,1.31
"Clint Capela","C","ATL",6600,31.4,4.8,"33277206","C","","C","BOS",225,10.5,107.25,3.94
"Bogdan Bogdanovic","SG/SF","ATL",6700,31.3,4.7,"33277180","SG/SF","SF","SG","BOS",225,10.5,107.25,10.43
"Tre Jones","PG","SA",5900,31.08,5.3,"33277267","PG","","PG","PHX",234,13,110.5,6.43
"Jordan Clarkson","SG/SF","UTA",6300,31.05,4.9,"33277221","SG/SF","SF","SG","DAL",237.5,8.5,114.5,12.41
"Michael Porter","SF/PF","DEN",7000,30.64,4.4,"33277151","SF/PF","PF","SF","MEM",213,-15.5,114.25,8.8
"Payton Pritchard","PG","BOS",5600,30.52,5.5,"33277301","PG","","PG","@ATL",225,-10.5,117.75,2.32
