"Pos","Player","Team","Opp","Salary","Proj","Value"
"SF/PF","Michael Porter","DEN","LAL",5900,28.82,4.9
"PF","Aaron Gordon","DEN","LAL",6500,28.78,4.4
"PF","Bojan Bogdanovic","DET","ATL",5400,28.76,5.3
"PF","Jalen Smith","IND","@CHI",5700,28.75,5
"PF","P.J. Washington","CHA","@NY",6400,28.38,4.4
"PF/C","Jarred Vanderbilt","UTA","HOU",5100,28.36,5.6
"PF/C","Evan Mobley","CLE","ORL",6300,28.28,4.5
"SF","OG Anunoby","TOR","PHI",6000,28.26,4.7
"C","Nicolas Claxton","BKN","@MIL",6000,28.16,4.7
"SG","Jaden Ivey","DET","ATL",7000,28.02,4
"PF","Jerami Grant","POR","MIA",5900,27.89,4.7
"C","Clint Capela","ATL","@DET",5500,27.66,5
"PG","Tyrese Maxey","PHI","@TOR",5800,27.33,4.7
"PG","Jamal Murray","DEN","LAL",6700,27.14,4.1
"SG","Gary Trent","TOR","PHI",6000,27.05,4.5
"PF/C","Bobby Portis","MIL","BKN",5600,26.88,4.8
"PF/C","Isaiah Stewart","DET","ATL",5400,26.86,5
"SF/PF","Tobias Harris","PHI","@TOR",6000,26.77,4.5
"SF","Lonnie Walker","LAL","@DEN",4700,26.75,5.7
"PG/SG","Patrick Beverley","LAL","@DEN",4500,26.73,5.9
"PF/C","Kevin Love","CLE","ORL",4900,26.5,5.4
"SF","Buddy Hield","IND","@CHI",5800,26.42,4.6
"PG","Kyle Lowry","MIA","@POR",5600,25.72,4.6
"SG","Kentavious Caldwell-Pope","DEN","LAL",5000,25.71,5.1
"C","Brook Lopez","MIL","BKN",5300,24.91,4.7
"C","Isaiah Hartenstein","NY","CHA",5000,24.86,5
"SF","Caleb Martin","MIA","@POR",4400,24.73,5.6
"C","Mitchell Robinson","NY","CHA",5300,24.7,4.7
"C","Mason Plumlee","CHA","@NY",5200,24.41,4.7
"SF","Royce O'Neale","BKN","@MIL",4800,24.4,5.1
"SF/PF","Kenyon Martin Jr.","HOU","@UTA",4500,24.12,5.4
"SF","De'Andre Hunter","ATL","@DET",5400,23.94,4.4
"SF/PF","Jae'Sean Tate","HOU","@UTA",4600,23.8,5.2
"C","Nick Richards","CHA","@NY",4800,23.57,4.9
"PG/SG","Jaylen Nowell","MIN","SA",4600,23.34,5.1
"SG/SF","Josh Richardson","SA","@MIN",3900,23.06,5.9
"SG/SF","Bruce Brown","DEN","LAL",4500,22.68,5
"PG/SG","Ayo Dosunmu","CHI","IND",5200,22.64,4.4
"SG","Evan Fournier","NY","CHA",4700,22.22,4.7
"SF","Eric Gordon","HOU","@UTA",4400,22.18,5
"SF/PF","Jalen McDaniels","CHA","@NY",4700,21.99,4.7
"SG/SF","Grayson Allen","MIL","BKN",4800,21.7,4.5
"PG/SG","Collin Sexton","UTA","HOU",4900,21.59,4.4
