Team,Player1,Player2
MIN,D'Angelo Russell,Jarred Vanderbilt
PHI,Andre Drummond,Furkan Korkmaz
ATL,Clint Capela,Danilo Gallinari
MIN,Anthony Edwards,Malik Beasley
PHI,Matisse Thybulle,Tobias Harris
NO,Herb Jones,Jonas Valanciunas
CHI,Coby White,Zach LaVine
PHI,Furkan Korkmaz,Tyrese Maxey
MIL,Grayson Allen,Khris Middleton
CLE,Isaac Okoro,Jarrett Allen
CHI,DeMar DeRozan,Javonte Green
ATL,Cam Reddish,Clint Capela
CHI,Ayo Dosunmu,DeMar DeRozan
PHX,Cameron Johnson,Chris Paul
SAC,Buddy Hield,Tyrese Haliburton
PHX,Cameron Johnson,Devin Booker
ATL,Bogdan Bogdanovic,Clint Capela
NO,Josh Hart,Nickeil Alexander-Walker
BKN,Cameron Thomas,James Harden
MIN,Karl-Anthony Towns,Taurean Prince
NO,Jaxson Hayes,Jonas Valanciunas
CHI,Javonte Green,Zach LaVine
ATL,Delon Wright,Trae Young
CHI,Ayo Dosunmu,Zach LaVine
ORL,Franz Wagner,Mo Bamba
MEM,Ja Morant,John Konchar
WAS,Bradley Beal,Raul Neto
PHX,Cameron Payne,Deandre Ayton
CHA,Cody Martin,Miles Bridges
MIN,D'Angelo Russell,Malik Beasley
IND,Malcolm Brogdon,T.J. McConnell
ATL,Lou Williams,Trae Young
NO,Devonte Graham,Josh Hart
MEM,Ja Morant,Xavier Tillman
ATL,Danilo Gallinari,John Collins
MIL,Grayson Allen,Jrue Holiday
IND,Chris Duarte,Malcolm Brogdon
SAC,Chimezie Metu,Harrison Barnes
NO,Jonas Valanciunas,Tomas Satoransky
