"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Victor Caratini","C","SD",2600,5.37,2.1,"C","","C","@STL - Wainwright ( R )"
"Ronald Torreyes","3B","PHI",2900,5.35,1.8,"3B","","3B","@NYM - Carrasco ( R )"
"Josh VanMeter","3B","ARI",3200,5.31,1.7,"3B","","3B","@HOU - McCullers ( R )"
"Juan Lagares","OF","LAA",2000,5.29,2.6,"OF","","OF","OAK - Jefferies ( R )"
"Sean Murphy","C","OAK",4100,5.26,1.3,"C","","C","@LAA - Suarez ( L )"
"Guillermo Heredia","OF","ATL",2000,5.25,2.6,"OF","","OF","@SF - Wood ( L )"
"Matt Duffy","2B/3B","CHC",2000,5.12,2.6,"2B/3B","3B","2B","@MIL - Burnes ( R )"
"David Bote","2B","CHC",2300,5.1,2.2,"2B","","2B","@MIL - Burnes ( R )"
"Tommy La Stella","2B","SF",3800,5.06,1.3,"2B","","2B","ATL - Morton ( R )"
"Kevin Pillar","OF","NYM",2700,4.99,1.8,"OF","","OF","PHI - Nola ( R )"
"Brock Holt","3B","TEX",2200,4.93,2.2,"3B","","3B","CWS - Lynn ( R )"
"Alfonso Rivas","1B/OF","CHC",2000,4.72,2.4,"1B/OF","OF","1B","@MIL - Burnes ( R )"
"Sergio Alcantara","SS","CHC",2000,4.44,2.2,"SS","","SS","@MIL - Burnes ( R )"
"Omar Narvaez","C","MIL",4800,4.25,0.9,"C","","C","CHC - Steele ( L )"
"Jed Lowrie","2B","OAK",3300,4.19,1.3,"2B","","2B","@LAA - Suarez ( L )"
"Jace Peterson","3B/OF","MIL",2000,4.08,2,"3B/OF","OF","3B","CHC - Steele ( L )"
"Dan Vogelbach","1B","MIL",2400,4.07,1.7,"1B","","1B","CHC - Steele ( L )"
"Steven Duggar","OF","SF",2600,4.04,1.6,"OF","","OF","ATL - Morton ( R )"
"Dominic Smith","OF","NYM",2500,3.93,1.6,"OF","","OF","PHI - Nola ( R )"
"Jake McCarthy","OF","ARI",2000,3.85,1.9,"OF","","OF","@HOU - McCullers ( R )"
"Donovan Solano","2B","SF",2000,3.84,1.9,"2B","","2B","ATL - Morton ( R )"
"Jose Rojas","2B/OF","LAA",2500,3.67,1.5,"2B/OF","OF","2B","OAK - Jefferies ( R )"
"Tony Kemp","2B/OF","OAK",3900,3.65,0.9,"2B/OF","OF","2B","@LAA - Suarez ( L )"
"J.D. Davis","3B","NYM",4000,3.62,0.9,"3B","","3B","PHI - Nola ( R )"
"Seth Brown","OF","OAK",3600,3.62,1,"OF","","OF","@LAA - Suarez ( L )"
"Austin Slater","OF","SF",2100,3.37,1.6,"OF","","OF","ATL - Morton ( R )"
"Curt Casali","C","SF",2900,3.3,1.1,"C","","C","ATL - Morton ( R )"
"Kurt Suzuki","C","LAA",2400,3.3,1.4,"C","","C","OAK - Jefferies ( R )"
"Jackie Bradley","OF","MIL",2000,3.22,1.6,"OF","","OF","CHC - Steele ( L )"
"Jose Peraza","2B/3B","NYM",3000,3.18,1.1,"2B/3B","3B","2B","PHI - Nola ( R )"
"Tomas Nido","C","NYM",2400,2.76,1.1,"C","","C","PHI - Nola ( R )"
